"Region","month","year","Value"
"Nova Scotia",2,2003,0.430536542583884
"Nunavut",2,2003,0.380393657382124
"Ontario",2,2003,0.368021835120522
"Prince Edward Island",2,2003,0.432397317132821
"Québec",2,2003,0.39033008146162
"Saskatchewan",2,2003,0.31253279299459
"Yukon",2,2003,0.376139134438914
"Alberta",3,2003,0.382279333246697
"British Columbia",3,2003,0.421108732019455
"Canada",3,2003,0.365899518113141
"Manitoba",3,2003,0.328907246626863
"New Brunswick",3,2003,0.427582960753291
"Newfoundland and Labrador",3,2003,0.402178353219088
"Northwest Territories",3,2003,0.285275441736249
"Nova Scotia",3,2003,0.42321874939365
"Nunavut",3,2003,0.379530318519417
"Ontario",3,2003,0.384518283991679
"Prince Edward Island",3,2003,0.436945550406734
"Québec",3,2003,0.392859312168109
"Saskatchewan",3,2003,0.328329094826214
"Yukon",3,2003,0.376094863085705
"Alberta",4,2003,0.354476242890618
"British Columbia",4,2003,0.407914782011392
"Canada",4,2003,0.365275737583898
"Manitoba",4,2003,0.347890571078815
"New Brunswick",4,2003,0.393232193233239
"Newfoundland and Labrador",4,2003,0.405969350154341
"Northwest Territories",4,2003,0.303956172569899
"Nova Scotia",4,2003,0.315712617291569
"Nunavut",4,2003,0.37848972599622
"Ontario",4,2003,0.379315563356122
"Prince Edward Island",4,2003,0.339515102771381
"Québec",4,2003,0.388456764444857
"Saskatchewan",4,2003,0.316866858774448
"Yukon",4,2003,0.385327032285653
"Alberta",5,2003,0.24551959237367
"British Columbia",5,2003,0.327013632766199
"Canada",5,2003,0.312856365265424
"Manitoba",5,2003,0.23870146201979
"New Brunswick",5,2003,0.283095873509276
"Newfoundland and Labrador",5,2003,0.346450325825236
"Northwest Territories",5,2003,0.276729341876631
"Nova Scotia",5,2003,0.283050874575279
"Nunavut",5,2003,0.38010122397812
"Ontario",5,2003,0.26026779183301
"Prince Edward Island",5,2003,0.295832663786061
"Québec",5,2003,0.306936577505071
"Saskatchewan",5,2003,0.22576705440324
"Yukon",5,2003,0.331722269097191
"Alberta",6,2003,0.23550224856423
"British Columbia",6,2003,0.277823366386939
"Canada",6,2003,0.27570271284267
"Manitoba",6,2003,0.219139495008892
"New Brunswick",6,2003,0.290316949240726
"Newfoundland and Labrador",6,2003,0.256896873074305
"Northwest Territories",6,2003,0.218114686879212
"Nova Scotia",6,2003,0.287503498611249
"Nunavut",6,2003,0.372493506893596
"Ontario",6,2003,0.23431649721547
"Prince Edward Island",6,2003,0.289697544882066
"Québec",6,2003,0.234209463753497
"Saskatchewan",6,2003,0.222458106612183
"Yukon",6,2003,0.221705290236416
